Latitude,Longitude,Depth,Magnitude
28.79,77.46,5,2.7
30.03,77.95,10,3.9
36.36,70.59,232,4.2
31.56,72.84,10,3.6
36.7,71.58,20,3.9
33.72,88.6,200,4.1
36.14,71.06,200,3.6
36.54,71.2,263,5.2
36.35,71.39,115,4.4
0.12,97.66,10,4.5
37.17,71.75,23,3.9
28.53,87.32,50,4
27.96,93.88,10,2.6
22.37,94.13,25,3.8
26.31,94.63,23.2,4.4
21.89,79.45,10,2.7
21.89,79.8,10,1.8
21.78,79.84,10,2.4
22.1,79.55,10,4.3
36.29,70.88,100,4.6
24.14,98.37,125,3.9
25.45,94.35,5,2.8
25.49,94.33,16,2.7
35.07,70.14,214,4.3
24.92,94.88,30,4
36.15,70.82,10,4.3
25.45,94.29,11.8,2.8
38.12,74.44,10,4.1
36.56,68.75,19.4,3.9
36.4,68.93,10,4.9
36.63,71.15,164,3.8
36.33,71.25,185,3.9
25.33,94.19,10,2.7
36.08,69.64,25,4.7
36.35,70.15,100,4.4
38.25,70.21,150,4.8
25.3,72.73,10,3
31.16,78.13,5,2.5
30.92,78.01,5,3.3
31.04,75.95,10,2.9
37.03,72.35,44,4.2
25.51,90.67,10,2.7
19.92,72.88,5,2.4
23.53,94.5,30,5.2
30.29,67.65,70,5.4
5.7,95.8,10,4.9
36.6,72.04,90,4.3
26.59,93.24,11,2.8
39.52,74.04,10,4.1
28.67,91.83,30,3.1
39.6,74.35,10,4.4
12.13,93.46,10,4.3
26.45,93.61,11,3.7
28.02,87.74,10,4.1
37.01,71.3,85,4.7
37.26,72.05,10,4.3
28.35,84.28,10,3.6
23.88,94.54,25,3.7
36.47,70.81,200,4.1
20,72.9,5,2.5
35.34,71.05,100,4.2
32.7,75.84,5,4
31.21,78.26,15,2.8
36.03,71.62,240,4.4
20.16,72.88,5,2.8
24.6,93.56,29,3.4
20.19,73.07,5,2.8
26.28,93.09,10,2.9
31.61,78.54,5,2.4
36.83,72.26,95,4
38.67,70.48,10,5.5
36.35,72.57,49,3.6
20.11,73.04,5,2.9
20.12,72.978,5,2.3
22.86,94.41,80,4.3
20.31,73.05,5,2.8
26.49,94.98,5,2.7
20.17,72.91,8,3.1
20.13,72.82,5,3.4
20.2,72.89,10,2.8
20.23,72.95,5,2.4
39.25,71.84,10,3.1
21.89,79.57,12,3.4
20.14,72.88,5,3.4
27.85,84.97,10,4.3
33.44,75.67,10,3.4
33.48,75.62,10,4
37.29,71.91,164,4.6
24.09,94.11,46,3.4
28.65,96.26,10,4.2
21.55,73.15,10,4.2
10.44,93.26,71,3.6
14.45,92.34,53,4.2
33.6,72.44,10,3.7
35.58,71.18,10,4.3
33.5,75.64,10,4.1
33.28,75.85,10,2.8
35.37,75.54,37,3.8
28.78,76.78,5,2.1
25.12,96.34,106,4.1
32.87,76.2,11,2.9
34.77,76.82,30,3.1
28.29,91.74,10,3.3
36.61,71.75,10,4.1
38.54,69.69,147,4.2
20.06,72.92,10,2.2
20,73.15,10,2.5
23.85,94.58,170,3.4
20.03,72.92,10,1.8
24.39,92.53,20,3.5
29.91,68.75,10,4.2
0.35,98.51,135,4.6
35.49,73.28,10,3.7
25.69,91.15,10,4.4
36.48,70.8,235,4
23.54,95.08,18,3.3
22.92,93.01,10,3.6
20.07,72.91,5,1.5
38.94,70.85,10,3.5
26.36,64.06,10,4.3
32.97,78.55,10,3.5
25.49,66.58,10,4.3
26.043,71.498,10,2.4
27.44,96.3,10,3.4
30.48,91,56,3.5
38.39,77.1,10,4.2
